date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:40	25859/25859	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Jan%202022%2007:47:39%20GMT	https://barunsonmcard.com/preview/1079	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/preview/1079.html	(from )
16:47:40	0/0	---MC-	302	error ('Found')	text/html	date:Mon,%2024%20Jan%202022%2007:47:40%20GMT	https://barunsonmcard.com/robots.txt		(from )
16:47:41	8745/8745	---MCZ	200	added ('OK')	text/css	etag:%221d7aa140fb072a9%22	https://barunsonmcard.com/css/loader.css?ver=4.1	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/css/loader2f54.css	(from https://barunsonmcard.com/preview/1079)
16:47:41	16367/16367	---MCZ	200	added ('OK')	text/css	etag:%221d7a5f7bf8e6bef%22	https://barunsonmcard.com/dist/css/photoswipe.css	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/dist/css/photoswipe.css	(from https://barunsonmcard.com/preview/1079)
16:47:41	57/57	---MCZ	302	error ('Found')	text/plain	date:Mon,%2024%20Jan%202022%2007:47:41%20GMT	https://unpkg.com/swiper/swiper-bundle.min.css	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/unpkg.com/swiper/swiper-bundle.min.3.delayed	(from https://barunsonmcard.com/preview/1079)
16:47:41	15563/15563	---MCZ	200	added ('OK')	text/css	etag:%223ccb-5Koe10fACH1gYqRziowpfORPwas%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.css	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/unpkg.com/swiper@7.4.1/swiper-bundle.min.css	(from https://barunsonmcard.com/preview/1079)
16:47:42	1469/1469	---M-Z	200	added ('OK')	text/css	etag:%221d7a5f71e07073d%22	https://barunsonmcard.com/css/extra_font.css	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/css/extra_font.css	(from https://barunsonmcard.com/preview/1079)
16:47:42	19949/19949	---M-Z	200	added ('OK')	text/css	etag:%221d7faba7f75feed%22	https://barunsonmcard.com/css/style.css	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/css/style.css	(from https://barunsonmcard.com/preview/1079)
16:47:43	56/56	---MCZ	302	error ('Found')	text/plain	date:Mon,%2024%20Jan%202022%2007:47:43%20GMT	https://unpkg.com/swiper/swiper-bundle.min.js	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/unpkg.com/swiper/swiper-bundle.min.js	(from https://barunsonmcard.com/preview/1079)
16:47:43	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%22611feac9-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/code.jquery.com/jquery-1.12.4.min.js	(from https://barunsonmcard.com/preview/1079)
16:47:43	135912/135912	---MCZ	200	added ('OK')	application/javascript	etag:%22212e8-+9I9CUbhY1/BprAUcnI5oGYQ/d0%22	https://unpkg.com/swiper@7.4.1/swiper-bundle.min.js	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/unpkg.com/swiper@7.4.1/swiper-bundle.min.js	(from https://barunsonmcard.com/preview/1079)
16:47:43	97220/97220	---MCZ	200	added ('OK')	application/javascript	etag:%221d7a5f7c0279144%22	https://barunsonmcard.com/dist/js/photoswipe.js	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/dist/js/photoswipe.js	(from https://barunsonmcard.com/preview/1079)
16:47:44	9876/9876	---M-Z	200	added ('OK')	application/javascript	etag:%221d7a5f7c026cc14%22	https://barunsonmcard.com/dist/js/photoswipe-ui-default.min.js	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/barunsonmcard.com/dist/js/photoswipe-ui-default.min.js	(from https://barunsonmcard.com/preview/1079)
16:47:45	166/166	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2024%20Jan%202022%2007:47:44%20GMT	http://developers.kakao.com/sdk/js/kakao.min.js	C:/Users/TAK&ROH/Desktop/mobile/cr/webde/developers.kakao.com/sdk/js/kakao.min.c.delayed	(from https://barunsonmcard.com/preview/1079)
